date,amount,merchant,category,description,source,tags
2024-02-02,890.0000,AUTOMATIC PAYMENT - THANK,"Payment, Transfer",,Chase,[]
2024-02-02,-0.0000,FIRST LATE PAYMENT - NO FEE,"Payment, Transfer",,Discover,[]
2024-02-06,-2.6700,INTEREST CHARGE ON PURCHASES,Bank Fees,,Discover,[]
2024-02-21,-10.0000,Chipotle Mexican Grill,Restaurants,,Capital One,[]
2024-02-21,-9.6000,Mbta,"Gas, Transportation",,Capital One,[]
2024-02-21,-3.8400,7-Eleven,Shopping,,Capital One,[]
2024-02-21,-13.7500,Falafel King,Restaurants,,Capital One,[]
2024-02-25,3.3000,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,"Payment, Transfer",,Discover,[]
2024-02-25,109.3700,INTERNET PAYMENT - THANK YOU,"Payment, Transfer",,Discover,[]
2024-02-28,-10.0000,Chipotle Mexican Grill,Restaurants,,Capital One,[]
2024-03-01,-9.6000,Mbta Downtown Xng,"Gas, Transportation",,Capital One,[]
2024-03-01,-9.6000,Mbta Downtown Xng,"Gas, Transportation",,Capital One,[]
2024-03-02,276.3600,CAPITAL ONE AUTOPAY PYMT AuthDate 02-M,"Payment, Transfer",,Capital One,[]
2024-03-02,-3.8400,7-Eleven,Shopping,,Capital One,[]
2024-03-03,6.0000,AUTOMATIC PAYMENT - THANK,"Payment, Transfer",,Chase,[]
2024-03-13,-12.8300,Chicken And Rice,Restaurants,,Capital One,[]
2024-03-13,-20.6200,Genescafeboston,Coffee Shops,,Capital One,[]
2024-03-14,-3.8400,7-Eleven,Shopping,,Capital One,[]
2024-03-15,-12.7900,Grainmaker,Restaurants,,Capital One,[]
2024-03-15,-2.3500,7-Eleven,Shopping,,Capital One,[]
2024-03-15,-3.2400,7-Eleven,Shopping,,Capital One,[]
2024-03-15,-3.7400,7-Eleven,Shopping,,Capital One,[]
2024-03-15,-9.6000,Mbta,"Gas, Transportation",,Capital One,[]
2024-03-22,-31.0300,Bb.q Chicken,Restaurants,,Capital One,['Brother Rent']
2024-03-22,-132.4900,99 Ranch Market,Groceries,,Capital One,['Brother Rent']
2024-03-23,-46.4500,Acapulcosmexicanfamily,Restaurants,,Capital One,['Brother Rent']
2024-03-23,-41.6800,Nori Sushi,Restaurants,,Capital One,[]
2024-03-25,-47.4600,Thai Little Duck Corp,Restaurants,,Capital One,['Brother Rent']
2024-03-26,-360.4000,Target,Shopping,,Capital One,['Brother Rent']
2024-03-27,-33.1200,Taipei Cuisine,Restaurants,,Capital One,['Brother Rent']
2024-03-27,-13.8900,Chicken And Rice,Restaurants,,Capital One,[]
2024-03-28,-90.2500,Korean Grille,Restaurants,,Capital One,['Brother Rent']
